person_id,branch,kernel,warnings
A236,GPR预测区间下界,0.134**2 * RBF(length_scale=26.3) + WhiteKernel(noise_level=2.14e-06),
A237,GPR预测区间下界,0.137**2 * RBF(length_scale=33.5) + WhiteKernel(noise_level=2.33e-06),
A238,GPR预测区间下界,0.119**2 * RBF(length_scale=37.9) + WhiteKernel(noise_level=1.04e-05),
A239,GPR预测区间下界,0.139**2 * RBF(length_scale=24.7) + WhiteKernel(noise_level=1.7e-05),
A240,GPR预测区间下界,0.096**2 * RBF(length_scale=3.57) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A241,GPR预测区间下界,0.0898**2 * RBF(length_scale=19.9) + WhiteKernel(noise_level=9.19e-05),
A242,GPR预测区间下界,0.121**2 * RBF(length_scale=23.6) + WhiteKernel(noise_level=2.42e-07),
A243,GPR预测区间下界,0.126**2 * RBF(length_scale=27.4) + WhiteKernel(noise_level=1.8e-05),
A244,GPR预测区间下界,0.129**2 * RBF(length_scale=15.5) + WhiteKernel(noise_level=3.08e-06),
A245,GPR预测区间下界,0.102**2 * RBF(length_scale=19.1) + WhiteKernel(noise_level=1.49e-07),
A246,GPR预测区间下界,0.113**2 * RBF(length_scale=25.9) + WhiteKernel(noise_level=1e-05),
A247,GPR预测区间下界,0.196**2 * RBF(length_scale=9.99) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A248,GPR预测区间下界,0.0894**2 * RBF(length_scale=18.1) + WhiteKernel(noise_level=2.08e-05),
A249,GPR预测区间下界,0.0817**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=2.4e-06),
A250,GPR预测区间下界,0.114**2 * RBF(length_scale=15.4) + WhiteKernel(noise_level=5.61e-07),
A251,GPR预测区间下界,0.0822**2 * RBF(length_scale=9.77) + WhiteKernel(noise_level=1.76e-05),
A252,GPR预测区间下界,0.112**2 * RBF(length_scale=16.3) + WhiteKernel(noise_level=1.83e-05),
A253,GPR预测区间下界,0.136**2 * RBF(length_scale=26.3) + WhiteKernel(noise_level=9.2e-06),
A254,GPR预测区间下界,0.122**2 * RBF(length_scale=15.2) + WhiteKernel(noise_level=2.97e-05),
A255,GPR预测区间下界,0.0659**2 * RBF(length_scale=16.6) + WhiteKernel(noise_level=7.46e-06),
A256,GPR预测区间下界,0.127**2 * RBF(length_scale=20.8) + WhiteKernel(noise_level=8.04e-06),
A257,GPR预测区间下界,0.0874**2 * RBF(length_scale=17.9) + WhiteKernel(noise_level=3.77e-05),
A258,GPR预测区间下界,0.0771**2 * RBF(length_scale=21.2) + WhiteKernel(noise_level=2.06e-06),
A259,GPR预测区间下界,0.0886**2 * RBF(length_scale=10.7) + WhiteKernel(noise_level=1.03e-07),
A260,GPR预测区间下界,0.123**2 * RBF(length_scale=19.2) + WhiteKernel(noise_level=6.88e-06),
A261,GPR预测区间下界,0.09**2 * RBF(length_scale=3.68) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A262,GPR预测区间下界,0.103**2 * RBF(length_scale=19.5) + WhiteKernel(noise_level=1.3e-06),
A263,GPR预测区间下界,0.0606**2 * RBF(length_scale=13.3) + WhiteKernel(noise_level=6.72e-07),
A264,GPR预测区间下界,0.0706**2 * RBF(length_scale=8.84) + WhiteKernel(noise_level=2.22e-06),
A265,GPR预测区间下界,0.0633**2 * RBF(length_scale=9.07) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A266,GPR预测区间下界,0.0912**2 * RBF(length_scale=20.7) + WhiteKernel(noise_level=3.42e-05),
A267,GPR预测区间下界,0.174**2 * RBF(length_scale=7.68) + WhiteKernel(noise_level=1.29e-08),
